,Processor Time,LogBytesFlushedSec,DiskWrites,DiskReads,CPU-DTU-Value,CPU-True-DTU-Value,CPU-DTU-Name,IOP-DTU-Value,IOP-True-DTU-Value,IOP-DTU-Name,LogBytes-DTU-Value,LogBytes-True-DTU-Value,LogBytes-DTU-Name,TotalServiceTierName
0,2,3,9,2,50,32.0,Standard - S2,5,3.4375,Basic,5,5.722046e-05,Basic,50
1,2,6,2,2,50,32.0,Standard - S2,5,1.25,Basic,5,0.000114440918,Basic,50
2,2,6,1,9,50,32.0,Standard - S2,5,3.125,Basic,5,0.000114440918,Basic,50
3,2,6,3,2,50,32.0,Standard - S2,5,1.5625,Basic,5,0.000114440918,Basic,50
4,2,6,9,4,50,32.0,Standard - S2,5,4.0625,Basic,5,0.000114440918,Basic,50
5,2,6,1,9,50,32.0,Standard - S2,5,3.125,Basic,5,0.000114440918,Basic,50
6,2,6,1,2,50,32.0,Standard - S2,5,0.9375,Basic,5,0.000114440918,Basic,50
7,1,1,2,3,20,16.0,Standard - S1,5,1.5625,Basic,5,1.90734863e-05,Basic,20
8,2,6,1,4,50,32.0,Standard - S2,5,1.5625,Basic,5,0.000114440918,Basic,50
9,7,2,1,4,200,112.0,Standard - S4,5,1.5625,Basic,5,3.81469727e-05,Basic,200
10,4,5,0,3,100,64.0,Standard - S3,5,0.9375,Basic,5,9.536743e-05,Basic,100
11,1,1,1,1,20,16.0,Standard - S1,5,0.625,Basic,5,1.90734863e-05,Basic,20
12,4,7,1,2,100,64.0,Standard - S3,5,0.9375,Basic,5,0.0001335144,Basic,100
13,4,0,1,1,100,64.0,Standard - S3,5,0.625,Basic,5,0.0,Basic,100
14,6,1,1,8,100,96.0,Standard - S3,5,2.8125,Basic,5,1.90734863e-05,Basic,100
15,7,6,3,6,200,112.0,Standard - S4,5,2.8125,Basic,5,0.000114440918,Basic,200
16,2,1,7,3,50,32.0,Standard - S2,5,3.125,Basic,5,1.90734863e-05,Basic,50
17,4,3,2,0,100,64.0,Standard - S3,5,0.625,Basic,5,5.722046e-05,Basic,100
18,4,1,1,6,100,64.0,Standard - S3,5,2.1875,Basic,5,1.90734863e-05,Basic,100
19,1,1,2,3,20,16.0,Standard - S1,5,1.5625,Basic,5,1.90734863e-05,Basic,20
20,.,0,9,1,5,0.0,Basic,5,3.125,Basic,5,0.0,Basic,5
21,2,2,7,5,50,32.0,Standard - S2,5,3.75,Basic,5,3.81469727e-05,Basic,50
22,.,5,2,7,5,0.0,Basic,5,2.8125,Basic,5,9.536743e-05,Basic,5
23,.,5,0,2,5,0.0,Basic,5,0.625,Basic,5,9.536743e-05,Basic,5
24,4,1,0,0,100,64.0,Standard - S3,5,0.0,Basic,5,1.90734863e-05,Basic,100
25,.,4,.,5,5,0.0,Basic,5,1.5625,Basic,5,7.62939453e-05,Basic,5
26,3,2,3,7,50,48.0,Standard - S2,5,3.125,Basic,5,3.81469727e-05,Basic,50
27,.,4,2,.,5,0.0,Basic,5,0.625,Basic,5,7.62939453e-05,Basic,5
28,.,4,1,8,5,0.0,Basic,5,2.8125,Basic,5,7.62939453e-05,Basic,5
29,.,4,0,7,5,0.0,Basic,5,2.1875,Basic,5,7.62939453e-05,Basic,5
30,5,2,7,8,100,80.0,Standard - S3,5,4.6875,Basic,5,3.81469727e-05,Basic,100
31,.,3,.,7,5,0.0,Basic,5,2.1875,Basic,5,5.722046e-05,Basic,5
