Seconds,Processor,DiskRead,DiskWrite,LogBytes
00:00.4,13.28172695,377.4916503,237.3090746,123040.2493
00:01.5,12.01694252,154.626284,171.3692574,127577.518
00:02.5,24.61487246,90.55188953,122.0481989,63496.55975
00:03.5,24.32648224,237.3987169,302.4124734,65565.38836
00:04.5,17.01934068,341.6712699,219.5754847,1209929.846
00:05.5,24.90326819,227.4056694,91.55293183,373992.7421
00:06.5,25.68328787,386.0056061,778.0112994,124929.8144
00:07.5,24.9996475,267.0065011,110.0026784,61441.49599
00:08.5,24.707158,405.0107263,107.0028339,61441.62722
00:09.5,24.99924184,415.5158569,91.57103009,60495.95794
00:10.5,26.36762443,288.9995062,2116.996383,614398.9502
00:11.6,27.88358332,962.9282174,1306.549841,665424.751
00:12.6,28.61356841,1095.925098,49.99658295,368614.8067
00:13.6,28.3646897,842.8973181,79.76014342,423496.8207
00:14.6,29.10149619,752.9932454,157.9985827,491515.5909
00:16.0,32.70792146,384.0220104,170.6764491,218465.8548
00:17.0,29.00350952,430.8041998,100.9541164,122824.1765
00:18.0,25.19498834,319.1130032,95.03365298,61461.76462
00:19.0,27.11509059,339.727989,107.3343501,60501.1236
00:20.0,22.95129261,455.9725369,118.9928331,61436.29971
00:21.0,23.74797668,276.6983036,144.7496464,60499.44403
00:22.0,16.02024728,1140.817745,237.9619836,186850.1492
00:23.0,13.84144561,224.4948305,244.1873595,180478.0897
00:24.0,13.38305029,100.9885683,270.9693269,184299.1378
00:25.0,15.37909966,812.4422278,185.1383501,1353290.435
00:26.0,16.9934019,680.004938,119.0008642,122880.8923
00:27.1,15.76858724,695.1304855,144.7368008,59989.95782
00:28.1,15.96087068,1153.96327,111.2609638,60494.45676
00:29.1,16.63430224,1022.99289,132.9201542,60493.43904
00:30.1,15.72255044,1015.127051,89.01114047,112142.0355
00:31.1,16.89438872,962.9481719,87.99526389,61436.69334
00:32.1,16.31288315,901.9256434,75.99373492,122357.9126
00:33.1,18.07089398,1491.778716,87.63584536,120996.5469
00:34.1,14.35598386,1237.983607,42.9994306,70655.06439
00:35.1,18.16797975,866.9570417,59.99702711,500199.2148
